NetlID,Lib,SynClk,SimClk,Area,Delay,Power,ErrorRate,MRE,MED,NMED,MinError,MaxError,ErrorRange,Variance,MultPrecision,MultID
-1,egfet,32620814.0,32564844.0,74539473.0,32564844.0,0.004441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,3
0,egfet,32620814.0,32564844.0,60064001.0,34822684.0,0.003471,0.871,0.01213,14.43,0.0,0.0,36.0,36.0,158.3,7,3
1,egfet,32620814.0,32564844.0,62404365.0,31565430.0,0.003732,0.8732,0.0145,17.72,0.0,0.0,40.0,40.0,182.1,7,3
2,egfet,32620814.0,32564844.0,57275018.0,33252234.0,0.003346,0.8698,0.02203,27.43,0.0,0.0,68.0,68.0,449.2,7,3
3,egfet,32620814.0,32564844.0,57275018.0,33252234.0,0.003346,0.8698,0.02203,27.43,0.0,0.0,68.0,68.0,449.2,7,3
4,egfet,32620814.0,32564844.0,57275018.0,33252234.0,0.003346,0.8698,0.02203,27.43,0.0,0.0,68.0,68.0,449.2,7,3
5,egfet,32620814.0,32564844.0,60867978.0,32616428.0,0.003622,0.92,0.0314,33.48,0.0,0.0,100.0,100.0,886.4,7,3
6,egfet,32620814.0,32564844.0,60649131.0,34572040.0,0.003726,0.8737,0.02943,36.13,0.0,0.0,96.0,96.0,698.3,7,3
7,egfet,32620814.0,32564844.0,52845161.0,32616544.0,0.003195,0.9502,0.03171,36.68,0.0,0.0,100.0,100.0,623.1,7,3
8,egfet,32620814.0,32564844.0,54809418.0,32557488.0,0.003254,0.9755,0.04734,70.38,0.0,0.0,332.0,332.0,6780.0,7,3
9,egfet,32620814.0,32564844.0,41793261.0,31781696.0,0.002391,1.0,0.1375,160.2,0.0,4.0,444.0,440.0,11690.0,7,3
-1,egfet,36407016.01,36312464.0,85688633.0,36312464.0,0.004773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,1
