NetlID,Lib,SynClk,SimClk,Area,Delay,Power,ErrorRate,MRE,MED,NMED,MinError,MaxError,ErrorRange,Variance,MultPrecision,MultID
3,egfet,21396904.0,21220268.0,2980000.0,7165978.0,0.0001903,1.0,3.096,248.5,82.83,22.0,844.0,822.0,63490.0,5,2
4,egfet,21396904.0,21220268.0,2509700.0,5088713.0,0.0001423,0.9686,3.896,298.9,99.64,0.0,896.0,896.0,81520.0,5,2
5,egfet,21396904.0,21220268.0,647360.0,2209745.0,5.477e-05,1.0,4.039,370.1,123.4,2.0,930.0,928.0,96360.0,5,2
6,egfet,21396904.0,21220268.0,2318080.0,5580120.0,0.0001399,1.0,4.043,370.2,123.4,2.0,928.0,926.0,96140.0,5,2
7,egfet,21396904.0,21220268.0,2318080.0,5580120.0,0.0001399,1.0,4.043,370.2,123.4,2.0,928.0,926.0,96140.0,5,2
8,egfet,21396904.0,21220268.0,2318080.0,5580120.0,0.0001399,1.0,4.043,370.2,123.4,2.0,928.0,926.0,96140.0,5,2
9,egfet,21396904.0,21220268.0,2318080.0,5580120.0,0.0001399,1.0,4.043,370.2,123.4,2.0,928.0,926.0,96140.0,5,2
10,egfet,21396904.0,21220268.0,228420.0,569809.0,1.021e-05,1.0,6.897,465.9,155.3,4.0,980.0,976.0,95820.0,5,2
11,egfet,21396904.0,21220268.0,0.0,0.0,0.0,,,,,,,,,5,2
12,egfet,21396904.0,21220268.0,0.0,0.0,0.0,,,,,,,,,5,2
13,egfet,21396904.0,21220268.0,0.0,0.0,0.0,,,,,,,,,5,2
14,egfet,21396904.0,21220268.0,0.0,0.0,0.0,,,,,,,,,5,2
15,egfet,21396904.0,21220268.0,0.0,0.0,0.0,,,,,,,,,5,2
16,egfet,21396904.0,21220268.0,0.0,0.0,0.0,,,,,,,,,5,2
17,egfet,21396904.0,21220268.0,0.0,0.0,0.0,,,,,,,,,5,2
-1,egfet,21345472.0,21342242.0,37236794.0,21342242.0,0.002512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,3
0,egfet,21345472.0,21342242.0,2394860.0,7372929.5,0.0001124,0.9685,2.059,247.1,82.36,0.0,832.0,832.0,53210.0,5,3
1,egfet,21345472.0,21342242.0,2166440.0,6067773.5,0.0001006,1.0,4.195,469.0,156.3,4.0,1000.0,996.0,95420.0,5,3
2,egfet,21345472.0,21342242.0,0.0,0.0,0.0,,,,,,,,,5,3
3,egfet,21345472.0,21342242.0,0.0,0.0,0.0,,,,,,,,,5,3
4,egfet,21345472.0,21342242.0,0.0,0.0,0.0,,,,,,,,,5,3
-1,egfet,37122356.01,37069816.0,63846231.0,37069816.0,0.003823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,1
0,egfet,37122356.01,37069816.0,3193860.0,5580120.0,0.000145,0.9844,0.8353,815.7,271.9,0.0,3752.0,3752.0,992500.0,6,1
1,egfet,37122356.01,37069816.0,1352060.0,1276050.0,6.228e-05,1.0,0.837,840.5,280.2,20.0,3880.0,3860.0,1046000.0,6,1
2,egfet,37122356.01,37069816.0,1352060.0,1276050.0,6.228e-05,1.0,0.837,840.5,280.2,20.0,3880.0,3860.0,1046000.0,6,1
3,egfet,37122356.01,37069816.0,1519080.0,5580120.0,4.45e-05,1.0,0.8445,801.0,267.0,2.0,3578.0,3576.0,940700.0,6,1
4,egfet,37122356.01,37069816.0,2147000.0,5580120.0,8.541e-05,1.0,0.8446,805.7,268.6,8.0,3648.0,3640.0,943300.0,6,1
5,egfet,37122356.01,37069816.0,476280.0,1276050.0,1.57e-05,1.0,0.8499,803.8,267.9,4.0,3620.0,3616.0,942900.0,6,1
6,egfet,37122356.01,37069816.0,1519080.0,5580120.0,4.447e-05,1.0,0.8454,806.4,268.8,6.0,3650.0,3644.0,943200.0,6,1
7,egfet,37122356.01,37069816.0,724140.0,1276050.0,2.134e-05,1.0,0.8956,776.0,258.7,16.0,3304.0,3288.0,866500.0,6,1
8,egfet,37122356.01,37069816.0,476280.0,1276050.0,1.57e-05,1.0,0.9004,778.5,259.5,14.0,3328.0,3314.0,862200.0,6,1
9,egfet,37122356.01,37069816.0,228420.0,569809.0,1.006e-05,1.0,0.9939,779.6,259.9,4.0,3126.0,3122.0,811900.0,6,1
10,egfet,37122356.01,37069816.0,228420.0,569809.0,1.006e-05,1.0,0.9718,779.4,259.8,2.0,3060.0,3058.0,784300.0,6,1
-1,egfet,36943168.01,34749392.0,59550835.0,34749392.0,0.003416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,2
0,egfet,36943168.01,34749392.0,14812490.0,11882442.0,0.0007753,1.0,0.392,444.0,148.0,12.0,3998.0,3986.0,1018000.0,6,2
1,egfet,36943168.01,34749392.0,10982407.0,15760299.0,0.0005504,1.0,0.3863,436.9,145.6,2.0,4014.0,4012.0,993700.0,6,2
2,egfet,36943168.01,34749392.0,6943570.0,9387173.0,0.0003851,1.0,0.3897,449.5,149.8,8.0,3966.0,3958.0,1006000.0,6,2
3,egfet,36943168.01,34749392.0,6544070.0,9387173.0,0.000353,1.0,0.414,459.4,153.1,2.0,4014.0,4012.0,1036000.0,6,2
4,egfet,36943168.01,34749392.0,4716550.0,10332910.0,0.0002096,1.0,0.3522,383.3,127.8,16.0,3842.0,3826.0,588000.0,6,2
